asperges-vertes-jambon-fume-et-fromage,fuentespina,ribera-del-duero
avocat-au-crabe,entre-deux-mers,pinot-blanc-d-alsace,muscat-sec,viognier,listel-blanc
baeckeoffe,riesling,saint-amour,gewurztraminer,pinot-noir-d-alsace,pinot-gris
bouquets-crevettes-roses,saumur-blanc,muscadet-sur-lie,entre-deux-mers,menetou-salon,touraine-sauvignon,riesling
brochette-de-petoncles-a-la-pancetta,coroa-d-ouro-2013-blanc
caille-aux-raisins,chateauneuf-du-pape,cotes-de-beaune,brouilly,moulin-a-vent,chambolle-musigny,muscat-sec
cailles-au-raisins-et-girolles,crozes-hermitage,moulin-a-vent,saint-amour,meursault,pouilly-fuisse,pinot-noir-d-alsace
cake-au-lard,julienas
canapes-de-crevettes-sur-concombre,un-vin-blanc-aromatique-et-rond-du-chateau-valcombe
canette-aux-clementines,lalande-de-pomerol,listrac-medoc,moulis
canette-fermiere-aux-peches-du-roussillon,cotes-du-roussillon-villages,collioure,maury-rouge,tautavel
carbonnades-flamandes,biere
cassoulet,fronton,bergerac,bordeaux,perigord,cahors,madiran,fronsac,canon-fronsac
cerre-d-agneau-aux-fleurs-de-brocolis,cote-rotie
chapon-farci-marrons-champignon-et-purees-douces,volnay,nuits-saint-georges
chapon-roti-aux-pommes,cidre-rose,vacqueyras,cairanne
cheesecake-au-chocolat,clairette-de-die
chili-con-carne,cahors
chocolat,chateauneuf-du-pape
choucroute-alsacienne,riesling,sylvaner,menetou-salon,gewurztraminer,pinot,pinot-gris,biere
civet-de-lapin,cotes-du-roussillon,chinon,chambertin,pommard,morgon,julienas,cotes-de-beaune,maury-rouge
coq-au-vin,cote-de-nuits,cote-de-beaune,bourgogne-rouge,macon,chambertin,gevrey-chambertin
cote-de-porc-poelee-et-granite-d-ananas,chiroubles,cote-du-rhone-village
couscous,guerrouane,sidi-brahim,boulaouane,mascara,vins-d-espagne,madiran,meknes,carthage
crevettes-roses-sautees,cidre-royal-guillevic,cidre,cidre-royal-guillevic-nicol
croquettes-d-alligator,gator-tail-ale
croustade-aux-pommes,floc-de-gascogne-rouge,armagnac
cuisses-de-canard-au-miel-et-haricots-tarbais,saint-emilion
cuisses-de-poulet-au-coca-cola,cahors,madiran,pepsi-cola,bergerac,vin-rose-de-loire,breizh-cola,paris-cola,coco-cola,orangina,fronton
daurade-farcie,riesling-d-alsace,riesling,pic-st-loup-blanc,moselle-blanc
dorade-rose,bandol-rose,bordeaux-rose
